,Timestamp,Motion
0,1610172121,0
1,1610174287,1
2,1610174295,0
3,1610174299,1
4,1610174304,0
5,1610174325,1
6,1610174355,0
7,1610174357,1
8,1610174385,0
9,1610174537,1
10,1610174558,0
11,1610174562,1
12,1610174590,0
13,1610174592,1
14,1610174607,0
15,1610174628,1
16,1610174642,0
17,1610174650,1
18,1610174665,0
19,1610174666,1
20,1610174670,0
21,1610174671,1
22,1610174703,0
23,1610174733,1
24,1610174738,0
25,1610174745,1
26,1610174749,0
27,1610174764,1
28,1610174766,0
29,1610174791,1
30,1610174794,0
31,1610174883,1
32,1610174887,0
33,1610174909,1
34,1610174918,0
35,1610174928,1
36,1610174931,0
37,1610174999,1
38,1610175003,0
39,1610175044,1
40,1610175047,0
41,1610175049,1
42,1610175054,0
43,1610175072,1
44,1610175074,0
45,1610175089,1
46,1610175092,0
47,1610175116,1
48,1610175120,0
49,1610175176,1
50,1610175179,0
51,1610175307,1
52,1610175311,0
53,1610175346,1
54,1610175349,0
55,1610175363,1
56,1610175367,0
57,1610175377,1
58,1610175382,0
59,1610175496,1
60,1610175500,0
61,1610175502,1
62,1610175514,0
63,1610175516,1
64,1610175522,0
65,1610175526,1
66,1610175555,0
67,1610175559,1
68,1610175568,0
69,1610175579,1
70,1610175585,0
71,1610175618,1
72,1610175631,0
73,1610175643,1
74,1610175646,0
75,1610175647,1
76,1610175650,0
77,1610175655,1
78,1610175659,0
79,1610175668,1
80,1610175672,0
81,1610175674,1
82,1610175678,0
83,1610175681,1
84,1610175691,0
85,1610175699,1
86,1610175714,0
87,1610175731,1
88,1610175741,0
89,1610175744,1
90,1610175759,0
91,1610175764,1
92,1610175769,0
93,1610175788,1
94,1610175792,0
95,1610175792,1
96,1610175799,0
97,1610175816,1
98,1610175820,0
99,1610175827,1
100,1610175836,0
101,1610175844,1
102,1610175849,0
103,1610175868,1
104,1610175875,0
105,1610175880,1
106,1610175887,0
107,1610175918,1
108,1610175927,0
109,1610175939,1
110,1610175942,0
111,1610175954,1
112,1610175960,0
113,1610175962,1
114,1610175970,0
115,1610175974,1
116,1610175977,0
117,1610176019,1
118,1610176023,0
119,1610176023,1
120,1610176029,0
121,1610176029,1
122,1610176037,0
123,1610176046,1
124,1610176052,0
125,1610176072,1
126,1610176076,0
127,1610176077,1
128,1610176083,0
129,1610176087,1
130,1610176094,0
131,1610176106,1
132,1610176111,0
133,1610176122,1
134,1610176127,0
135,1610176133,1
136,1610176137,0
137,1610176154,1
138,1610176157,0
139,1610176175,1
140,1610176178,0
141,1610176186,1
142,1610176193,0
143,1610176199,1
144,1610176205,0
145,1610176217,1
146,1610176220,0
147,1610176222,1
148,1610176225,0
149,1610176226,1
150,1610176230,0
151,1610176238,1
152,1610176242,0
153,1610176316,1
154,1610176320,0
155,1610176383,1
156,1610176390,0
157,1610176395,1
158,1610176401,0
159,1610176407,1
160,1610176416,0
161,1610176417,1
162,1610176421,0
163,1610176456,1
164,1610176459,0
165,1610176580,1
166,1610176584,0
167,1610176585,1
168,1610176589,0
169,1610176593,1
170,1610176598,0
171,1610176608,1
172,1610176624,0
173,1610176639,1
174,1610176644,0
175,1610178237,1
176,1610178241,0
177,1610178481,1
178,1610178489,0
179,1610178495,1
180,1610178499,0
181,1610178531,1
182,1610178534,0
183,1610178537,1
184,1610178542,0
185,1610178544,1
186,1610178547,0
187,1610178548,1
188,1610178553,0
189,1610178557,1
190,1610178569,0
191,1610178573,1
192,1610178587,0
193,1610178598,1
194,1610178616,0
195,1610178659,1
196,1610178665,0
197,1610178676,1
198,1610178686,0
199,1610178688,1
200,1610178696,0
201,1610178697,1
202,1610178704,0
203,1610178708,1
204,1610178711,0
205,1610178722,1
206,1610178731,0
207,1610178731,1
208,1610178737,0
209,1610178739,1
210,1610178747,0
211,1610178749,1
212,1610178754,0
213,1610178772,1
214,1610178785,0
215,1610178788,1
216,1610178791,0
217,1610178794,1
218,1610178799,0
219,1610178828,1
220,1610178838,0
221,1610178845,1
222,1610178849,0
223,1610178853,1
224,1610178857,0
225,1610178861,1
226,1610178868,0
227,1610178872,1
228,1610178876,0
229,1610178882,1
230,1610178889,0
231,1610178897,1
